Compound,SMILES
Quinine,COC1=CC2=C(C(=C(C=C2)[C@@H](O)[C@H](C3CC4CCN3C[C@@H]4C=C)N(C)C)N=C1
Chloroquine,CCN(CC)CCCC(C)NC1=CC=NC2=CC(Cl)=CC=C21
Mefloquine,C1CCN(C(C1)C(C2=CC(=CC3=C2N=C(C=C3)C(F)(F)F)C(F)(F)F)O)CC1
Artemisinin,CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)C
Artesunate,CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)OC(=O)CCC(=O)O
Artemether,CC1CCC2C(C(=O)OC3C24C1CCC(O3)(OO4)C)OC
Lumefantrine,CCCCN(CC)CC(O)C1=C2C(=CC(Cl)=C1)C=C(Cl)C(=C2)CC3=CC=C(Cl)C=C3
Primaquine,CC(C1=CC2=C(C=C(C=C2)N)NC=C1)NCCCC(C)N
Pyrimethamine,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(Cl)C=C2
Atovaquone,C1CC(CCC1C2=C(C(=O)C3=C(O2)C=C(C=C3)Cl)O)C4=CC=C(C=C4)Cl
Proguanil,CC(C)NC(=N)NC(=N)NC1=CC=C(Cl)C=C1
Doxycycline,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)O)O
Tafenoquine,CC1=C(C(=C2C(=C1)C(=NC(=C2)NC(C)CCCN)OC3=CC(=CC(=C3)OC)C(F)(F)F)OC
Halofantrine,C1CCN(CCCC(C2=C3C(=CC(=C2)C(F)(F)F)CC=CC=C3C(F)(F)F)O)CC1
Sulfadoxine,COC1=C(C(=CC(=C1)NS(=O)(=O)C2=CC=C(N)C=C2)N)OC
Amodiaquine,CCN(CC)CC1=CC(=C(C2=C1C(=CC=C2)Cl)O)CN
Piperaquine,C1CN(CCN1CCCN2C3=C(C=C(C=C3)Cl)N=C(C=C2)Cl)CCCN4C5=C(C=C(C=C5)Cl)N=C(C=C4)Cl
Ferroquine,CN(C)CCN(Cc1ccc(c(c1)[C@@H]2C=C[Fe]C=C2)Cl)c3cc4c(c(c(c(c4)Cl)N)Cl)[nH]c(c3)
Pyronaridine,COC1=CC(=C2C(=C1)N=C(C=C2NCC3CCCN3C)C4=CC(=CC(=C4Cl)O)Cl)OC
Cycloguanil,CC1(C(=NC(=N)N=C1N)C2=CC=C(Cl)C=C2)C
Quinacrine,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C(C=C(C=C3)Cl)OC)C=C1
WR99210,C1=CC(=C(C(=C1)Cl)C(=N)N=C(N)N=C(C2=CC(=C(C=C2)Cl)Cl)C(F)(F)F
Naphthoquine,CC(C)(C)NC1=C2C(=CC(=C1)Cl)C=C(C3=C2C(=CC=C3)O)NCCCCN(CC)CC
